nom;pays;region;localite;type_etab;code_etab;regime;annee_scolaire
ECOLE MATERNELLE LYCEE FRANCAIS LA RACINE;CD;Kinshasa;KINSHASA;École maternelle;P1001921;Privé;2024-2025
COMPLEXE SCOLAIRE SIKATENDA/SECONDAIRE;CD;Kinshasa;KINSHASA;Lycée;P1001923;Privé;2024-2025
COMPLEXE SCOLAIRE SAINTE THERESE /PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1001926;Privé;2024-2025
COMPLEXE SCOLAIRE SAINTE THERESE /MATERNELLE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P1001927;Privé;2024-2025
COMPLEXE SCOLAIRE BIEN AIME KOCO CHRETIENNE /MATERNELLE;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P1001929;Privé;2024-2025
LYCEE MADAME LE SEVIGNE /MATERNELLE;CD;Kinshasa;NGALIEMA;École maternelle;P1001934;Privé;2024-2025
LYCEE MADAME LE SEVIGNE /PRIMAIRE;CD;Kinshasa;NGALIEMA;École primaire;P1001935;Privé;2024-2025
GROUPE SCOLAIRE COEUR IMMACULEE DE MARIE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1001938;Privé;2024-2025
COMPLEXE SCOLAIRE LES MESSAGES;CD;Kinshasa;NGALIEMA;Lycée;P1001942;Privé;2024-2025
COLLEGE LE PANTHEON/MATE;CD;Kinshasa;KINSHASA;École maternelle;P1001948;Privé;2024-2025
COLLEGE LE PANTHEON/PRIM;CD;Kinshasa;KINSHASA;École primaire;P1001949;Privé;2024-2025
COLLEGE LUKOKI/PRIMAIRE;CD;Kinshasa;KINSHASA;École primaire;P1002042;Privé;2024-2025
COMPLEXE SCOLAIRE BIEN AIME/SECONDAIRE;CD;Kinshasa;MONT-NGAFUL A;Lycée;P1002043;Privé;2024-2025
LYCEE MADAME LE SEVIGNE/SECONDAIRE;CD;Kinshasa;NGALIEMA;Lycée;P1002045;Privé;2024-2025
COMPLEXE SCOLAIRE LA VAILLANCE/MATERNELLE;CD;Kinshasa;NGALIEMA;École maternelle;P1002047;Privé;2024-2025
COLLEGE ANGELA I;CD;Kinshasa;NGALIEMA;Lycée;P1002665;Privé;2024-2025
COMPLEXE SCOLAIRE ETOILLE BRILLANTE DE KIMBONDO;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1003287;Privé;2024-2025
COLLEGE JAIME MON PAYS/ PRIMAIRE;CD;Kinshasa;NGALIEMA;École primaire;P1003428;Privé;2024-2025
COLLEGE RISHON/PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1003440;Privé;2024-2025
COLLEGE SANTO BENITO/PRIMAIRE;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1003442;Privé;2024-2025
COMPLEXE SCOLAIRE LA CONSOLATION;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P1027;Privé;2024-2025
COLLEGE CS KOBOTA ELENGI;CD;Kinshasa;LINGWALA;Lycée;P1070;Privé;2024-2025
ECOLE MATERNELLE KATAM;CD;Kinshasa;NGALIEMA;École maternelle;P1087;Privé;2024-2025
COMPLEXE SCOLAIRE BOPETOLI;CD;Kinshasa;NGALIEMA;École maternelle;P1097;Privé;2024-2025
ECOLE MATERNELLE LES BAMBINS AU LYCEE ROYAL;CD;Kinshasa;MONT-NGAFUL A;École maternelle;P1109;Privé;2024-2025
GROUPE SCOLAIRE AROMA LIFE;CD;Kinshasa;NGALIEMA;Lycée;P1120;Privé;2024-2025
COMPLEXE SCOLAIRE MARTIN KASONGO;CD;Kinshasa;NGALIEMA;École maternelle;P1129;Privé;2024-2025
COMPLEXE SCOLAIRE MOUNA;CD;Kinshasa;LINGWALA;Lycée;P1131;Privé;2024-2025
ECOLE PRIMAIRE LES BAMBINS AU LYCEE ROYAL;CD;Kinshasa;MONT-NGAFUL A;École primaire;P1139;Privé;2024-2025
COLLEGE UNITE / PRIMAIRE;CD;Kinshasa;BARUMBU;École primaire;P1143;Privé;2024-2025
